Õ¯µ„ID,ºØ…¢µ„ID,Long,Lat,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
021SA,2,121.395836,31.311775,,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021SM,3,,,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021SS,4,121.35115,31.30297,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021F,7,121.472547,31.283786,,999,999,999,999,999,999,999,999,999,999,999,999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
021AD,12,121.48937,31.19866,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021AA,14,121.49128,31.220435,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021PA,17,121.435575,31.226748,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021PB,19,121.4486,31.23433,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021CF,22,121.369362,31.157111,,999,999,999,999,999,999,999,999,999,999,999,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021GK,24,121.521449,31.241051,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021UA,25,121.581788,31.324552,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021UB,26,,,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021GB,27,121.569965,31.176119,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021GA,28,121.530933,31.214912,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021GC,29,121.559762,31.242536,,999,999,999,999,999,999,999,999,999,999,999,999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021ND,35,121.577813,31.260517,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021UD,38,121.641049,31.270491,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021UH,39,,,,999,999,999,999,999,999,999,999,999,999,999,999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021GH,41,121.515752,31.154375,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021EB,42,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021EC,43,121.447227,31.240288,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021EK,46,121.361976,31.272389,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021EE,49,,,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021ES,50,121.385906,31.233316,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021BE,51,121.431541,31.180653,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021BA,53,121.403823,31.165975,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021B,55,121.442732,31.165424,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
021BB,56,121.447506,31.140983,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021BH,59,121.465294,31.19588,,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
021TA,62,121.525011,31.293918,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021TB,63,121.523294,31.325358,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021TH,64,,,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021TV,66,121.538127,31.264012,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021FF,68,,,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
021FD,74,121.451722,31.25805,,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
021DD,76,121.41658,31.20201,,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
