id,fromDepot,toDepot,Total,start,end
1,571D,571FA,383,0,80
1,571D,571KB,363,0,80
1,571D,571KJ,545,0,80
1,571D,571NC,354,0,80
1,571D,571P,712,0,80
1,571D,571QC,341,0,80
1,571FA,571D,223,0,80
1,571FA,571KB,312,0,80
1,571FA,571KJ,350,0,80
1,571FA,571NC,204,0,80
1,571FA,571P,553,0,80
1,571FA,571QC,222,0,80
1,571KB,571D,399,0,80
1,571KB,571FA,458,0,80
1,571KB,571KJ,829,0,80
1,571KB,571NC,384,0,80
1,571KB,571P,1004,0,80
1,571KB,571QC,379,0,80
1,571KJ,571D,352,0,80
1,571KJ,571FA,413,0,80
1,571KJ,571KB,574,0,80
1,571KJ,571NC,355,0,80
1,571KJ,571P,1052,0,80
1,571KJ,571QC,449,0,80
1,571NC,571D,262,0,80
1,571NC,571FA,287,0,80
1,571NC,571KB,271,0,80
1,571NC,571KJ,342,0,80
1,571NC,571P,490,0,80
1,571NC,571QC,247,0,80
1,571P,571D,592,0,80
1,571P,571FA,699,0,80
1,571P,571KB,678,0,80
1,571P,571KJ,1136,0,80
1,571P,571NC,594,0,80
1,571P,571QC,572,0,80
1,571QC,571D,246,0,80
1,571QC,571FA,295,0,80
1,571QC,571KB,303,0,80
1,571QC,571KJ,515,0,80
1,571QC,571NC,256,0,80
1,571QC,571P,565,0,80
