id,from,fromDepot,Total,start,end
1,571AA,571P,378,0,90
1,571AC,571NC,482,0,90
1,571AD,571D,911,0,90
1,571AE,571KJ,198,0,90
1,571AF,571P,431,0,90
1,571AG,571QC,375,0,90
1,571AJ,571KJ,298,0,90
1,571AM,571P,193,0,90
1,571AQ,571FA,104,0,90
1,571B,571KJ,432,0,90
1,571BM,571P,462,0,90
1,571CAE,571KB,1710,0,90
1,571CC,571FA,125,0,90
1,571CD,571KJ,373,0,90
1,571CK,571FA,434,0,90
1,571CL,571KB,263,0,90
1,571CS,571P,485,0,90
1,571DA,571D,140,0,90
1,571DB,571D,232,0,90
1,571DC,571QC,536,0,90
1,571DJ,571D,333,0,90
1,571E,571P,545,0,90
1,571EA,571P,162,0,90
1,571FB,571KB,224,0,90
1,571FC,571FA,239,0,90
1,571FF,571KB,262,0,90
1,571FH,571KB,181,0,90
1,571FL,571KB,94,0,90
1,571FM,571KB,296,0,90
1,571FN,571FA,151,0,90
1,571FP,571FA,158,0,90
1,571FQ,571FA,255,0,90
1,571FT,571KB,360,0,90
1,571FX,571FA,100,0,90
1,571HB,571NC,235,0,90
1,571HC,571NC,290,0,90
1,571HJ,571FA,137,0,90
1,571HK,571FA,68,0,90
1,571HN,571KJ,273,0,90
1,571J,571KJ,432,0,90
1,571JB,571KJ,639,0,90
1,571K,571NC,265,0,90
1,571KA,571D,309,0,90
1,571KF,571D,254,0,90
1,571KL,571KJ,365,0,90
1,571KM,571FA,188,0,90
1,571KT,571NC,233,0,90
1,571LB,571FA,133,0,90
1,571LD,571FA,113,0,90
1,571LH,571FA,63,0,90
1,571NF,571QC,282,0,90
1,571PB,571P,1072,0,90
1,571PC,571P,540,0,90
1,571PD,571P,410,0,90
1,571PF,571P,233,0,90
1,571PG,571KB,361,0,90
1,571PH,571P,778,0,90
1,571QA,571KJ,247,0,90
1,571QD,571QC,568,0,90
1,571QE,571QC,483,0,90
1,571QF,571KJ,268,0,90
1,571QKA,571QC,13,0,90
1,571QKC,571KJ,3,0,90
1,571QKD,571NC,8,0,90
1,571QKE,571KB,6,0,90
1,571QKF,571P,8,0,90
1,571TD,571NC,125,0,90
1,571TM,571NC,145,0,90
1,571W,571NC,10,0,90
