id,toDep,to,Total,start,end
1,571D,571AD,811,0,120
1,571D,571DA,312,0,120
1,571D,571DB,117,0,120
1,571D,571DJ,210,0,120
1,571D,571KF,242,0,120
1,571FA,571AQ,245,0,120
1,571FA,571CC,361,0,120
1,571FA,571CK,435,0,120
1,571FA,571FC,263,0,120
1,571FA,571FN,280,0,120
1,571FA,571FP,171,0,120
1,571FA,571FQ,192,0,120
1,571FA,571FX,153,0,120
1,571FA,571HJ,242,0,120
1,571FA,571HK,126,0,120
1,571FA,571KM,341,0,120
1,571FA,571LB,229,0,120
1,571FA,571LD,210,0,120
1,571FA,571LH,105,0,120
1,571KB,571CAE,1,0,120
1,571KB,571CL,456,0,120
1,571KB,571FB,210,0,120
1,571KB,571FF,326,0,120
1,571KB,571FH,204,0,120
1,571KB,571FL,236,0,120
1,571KB,571FM,547,0,120
1,571KB,571FT,177,0,120
1,571KB,571PG,585,0,120
1,571KB,571QKE,48,0,120
1,571KJ,571AJ,524,0,120
1,571KJ,571B,526,0,120
1,571KJ,571CD,302,0,120
1,571KJ,571J,308,0,120
1,571KJ,571JB,655,0,120
1,571KJ,571KL,507,0,120
1,571KJ,571QA,271,0,120
1,571NC,571AC,347,0,120
1,571NC,571HB,411,0,120
1,571NC,571HC,353,0,120
1,571NC,571K,323,0,120
1,571NC,571KT,257,0,120
1,571NC,571QKD,39,0,120
1,571NC,571TD,210,0,120
1,571NC,571TM,254,0,120
1,571P,571AA,427,0,120
1,571P,571AF,566,0,120
1,571P,571BM,318,0,120
1,571P,571CS,613,0,120
1,571P,571E,483,0,120
1,571P,571EA,167,0,120
1,571P,571PB,1010,0,120
1,571P,571PC,498,0,120
1,571P,571PD,342,0,120
1,571P,571PF,251,0,120
1,571P,571PH,667,0,120
1,571QC,571AG,705,0,120
1,571QC,571DC,265,0,120
1,571QC,571NF,145,0,120
1,571QC,571QD,780,0,120
1,571QC,571QE,669,0,120
1,571QC,571QKA,52,0,120
1,571QKC,571AE,187,0,120
1,571QKC,571HN,281,0,120
1,571QKC,571QF,354,0,120
1,571QKF,571AM,120,0,120
1,571QKF,571KA,448,0,120
